code,name
DAF,Melanaquands
DAG,Epiaquands
DAH,Endoaquands
DABA,Lithic Cryaquands
DABB,Histic Cryaquands
DABC,Thaptic Cryaquands
DABD,Typic Cryaquands
DADA,Histic Duraquands
DADB,Acraquoxic Duraquands
DADC,Thaptic Duraquands
DADD,Typic Duraquands
DAHA,Lithic Endoaquands
DAHB,Duric Endoaquands
DAHC,Histic Endoaquands
DAHD,Alic Endoaquands
DAHE,Hydric Endoaquands
DAHF,Thaptic Endoaquands
DAHG,Typic Endoaquands
DAGA,Duric Epiaquands
DAGB,Histic Epiaquands
DAGC,Alic Epiaquands
DAGD,Hydric Epiaquands
DAGE,Thaptic Epiaquands
DAGF,Typic Epiaquands
DAAA,Histic Gelaquands
DAAB,Turbic Gelaquands
DAAC,Thaptic Gelaquands
DAAD,Typic Gelaquands
DAFA,Lithic Melanaquands
DAFB,Acraquoxic Melanaquands
DAFC,Hydric Pachic Melanaquands
DAFD,Hydric Melanaquands
DAFE,Pachic Melanaquands
DAFF,Thaptic Melanaquands
DAFG,Typic Melanaquands
DACA,Lithic Placaquands
DACB,Duric Histic Placaquands
DACC,Duric Placaquands
DACD,Histic Placaquands
DACE,Thaptic Placaquands
DACF,Typic Placaquands
DAEA,Lithic Vitraquands
DAEB,Duric Vitraquands
DAEC,Histic Vitraquands
DAED,Thaptic Vitraquands
DAEE,Typic Vitraquands
DCA,Duricryands
DCB,Hydrocryands
DCC,Melanocryands
DCD,Fulvicryands
DCE,Vitricryands
DCF,Haplocryands
DCAA,Aquic Duricryands
DCAB,Eutric Oxyaquic Duricryands
DCAC,Oxyaquic Duricryands
DCAD,Eutric Duricryands
DCAE,Typic Duricryands
DCDA,Lithic Fulvicryands
DCDB,Folistic Fulvicryands
DCDC,Eutric Pachic Fulvicryands
DCDD,Eutric Fulvicryands
DCDE,Pachic Fulvicryands
DCDF,Vitric Fulvicryands
DCDG,Typic Fulvicryands
DCFA,Lithic Haplocryands
DCFB,Folistic Haplocryands
DCFC,Aquic Haplocryands
DCFD,Oxyaquic Haplocryands
DCFE,Alic Haplocryands
DCFF,Spodic Haplocryands
DCFG,Acrudoxic Haplocryands
DCFH,Vitric Haplocryands
DCFI,Thaptic Haplocryands
DCFJ,Xeric Haplocryands
DCFK,Typic Haplocryands
DCBA,Lithic Hydrocryands
DCBB,Placic Hydrocryands
DCBC,Aquic Hydrocryands
DCBD,Thaptic Hydrocryands
DCBE,Typic Hydrocryands
DCCA,Lithic Melanocryands
DCCB,Vitric Melanocryands
DCCC,Typic Melanocryands
DCEA,Lithic Vitricryands
DCEB,Folistic Vitricryands
DCEC,Aquic Vitricryands
DCED,Oxyaquic Vitricryands
DCEE,Spodic Vitricryands
DCEF,Thaptic Vitricryands
DCEG,Humic Xeric Vitricryands
DCEH,Xeric Vitricryands
DCEI,Ultic Vitricryands
DCEJ,Alfic Vitricryands
DCEK,Humic Vitricryands
DCEL,Typic Vitricryands
DBA,Vitrigelands
DBAA,Humic Vitrigelands
DBAB,Turbic Vitrigelands
DBAC,Typic Vitrigelands
DDA,Duritorrands
DDB,Vitritorrands
DDC,Haplotorrands
DDAA,Petrocalcic Duritorrands
DDAB,Vitric Duritorrands
DDAC,Typic Duritorrands
DDCA,Lithic Haplotorrands
DDCB,Duric Haplotorrands
DDCC,Calcic Haplotorrands
DDCD,Typic Haplotorrands
DDBA,Lithic Vitritorrands
DDBB,Duric Vitritorrands
DDBC,Aquic Vitritorrands
DDBD,Calcic Vitritorrands
DDBE,Typic Vitritorrands
DHA,Placudands
DHB,Durudands
DHC,Melanudands
DHD,Hydrudands
DHE,Fulvudands
DHF,Hapludands
DHBA,Aquic Durudands
DHBB,Eutric Durudands
DHBC,Acrudoxic Durudands
DHBD,Hydric Durudands
DHBE,Pachic Durudands
DHBF,Typic Durudands
DHEA,Eutric Lithic Fulvudands
DHEB,Lithic Fulvudands
DHEC,Aquic Fulvudands
DHED,Oxyaquic Fulvudands
DHEE,Hydric Fulvudands
DHEF,Acrudoxic Fulvudands
DHEG,Ultic Fulvudands
DHEH,Eutric Pachic Fulvudands
DHEI,Eutric Fulvudands
DHEJ,Pachic Fulvudands
DHEK,Thaptic Fulvudands
DHEL,Typic Fulvudands
DHFA,Lithic Hapludands
DHFB,Anthraquic Hapludands
DHFC,Aquic Duric Hapludands
DHFD,Duric Hapludands
DHFE,Aquic Hapludands
DHFF,Oxyaquic Hapludands
DHFG,Alic Hapludands
DHFH,Acrudoxic Hydric Hapludands
DHFI,Acrudoxic Thaptic Hapludands
DHFJ,Acrudoxic Ultic Hapludands
DHFK,Acrudoxic Hapludands
DHFL,Vitric Hapludands
DHFM,Hydric Thaptic Hapludands
DHFN,Hydric Hapludands
DHFO,Eutric Thaptic Hapludands
DHFP,Thaptic Hapludands
DHFQ,Eutric Hapludands
DHFR,Oxic Hapludands
DHFS,Ultic Hapludands
DHFT,Alfic Hapludands
DHFU,Typic Hapludands
DHDA,Lithic Hydrudands
DHDB,Aquic Hydrudands
DHDC,Acrudoxic Thaptic Hydrudands
DHDD,Acrudoxic Hydrudands
DHDE,Thaptic Hydrudands
DHDF,Eutric Hydrudands
DHDG,Ultic Hydrudands
DHDH,Typic Hydrudands
DHCA,Lithic Melanudands
DHCB,Anthraquic Melanudands
DHCC,Aquic Melanudands
DHCD,Acrudoxic Vitric Melanudands
DHCE,Acrudoxic Hydric Melanudands
DHCF,Acrudoxic Melanudands
DHCG,Pachic Vitric Melanudands
DHCH,Vitric Melanudands
DHCI,Hydric Pachic Melanudands
DHCJ,Pachic Melanudands
DHCK,Hydric Melanudands
DHCL,Thaptic Melanudands
DHCM,Ultic Melanudands
DHCN,Eutric Melanudands
DHCO,Typic Melanudands
DHAA,Lithic Placudands
DHAB,Aquic Placudands
DHAC,Acrudoxic Placudands
DHAD,Hydric Placudands
DHAE,Typic Placudands
DGA,Durustands
DGB,Haplustands
DGAA,Aquic Durustands
DGAB,Thaptic Durustands
DGAC,Humic Durustands
DGAD,Typic Durustands
DGBA,Lithic Haplustands
DGBB,Aquic Haplustands
DGBC,Dystric Vitric Haplustands
DGBD,Vitric Haplustands
DGBE,Pachic Haplustands
DGBF,Thaptic Haplustands
DGBG,Calcic Haplustands
DGBH,Dystric Haplustands
DGBI,Oxic Haplustands
DGBJ,Ultic Haplustands
DGBK,Alfic Haplustands
DGBL,Humic Haplustands
DGBM,Typic Haplustands
DFA,Ustivitrands
DFB,Udivitrands
DFBA,Lithic Udivitrands
DFBB,Aquic Udivitrands
DFBC,Oxyaquic Udivitrands
DFBD,Thaptic Udivitrands
DFBE,Ultic Udivitrands
DFBF,Alfic Udivitrands
DFBG,Humic Udivitrands
DFBH,Typic Udivitrands
DFAA,Lithic Ustivitrands
DFAB,Aquic Ustivitrands
DFAC,Thaptic Ustivitrands
DFAD,Calcic Ustivitrands
DFAE,Humic Ustivitrands
DFAF,Typic Ustivitrands
DEA,Vitrixerands
DEB,Melanoxerands
DEC,Haploxerands
DECA,Lithic Haploxerands
DECB,Aquic Haploxerands
DECC,Thaptic Haploxerands
DECD,Calcic Haploxerands
DECE,Ultic Haploxerands
DECF,Alfic Humic Haploxerands
DECG,Alfic Haploxerands
DECH,Humic Haploxerands
DECI,Typic Haploxerands
DEBA,Pachic Melanoxerands
DEBB,Typic Melanoxerands
DEAA,Lithic Vitrixerands
DEAB,Aquic Vitrixerands
DEAC,Thaptic Vitrixerands
DEAD,Alfic Humic Vitrixerands
DEAE,Ultic Vitrixerands
DEAF,Alfic Vitrixerands
DEAG,Humic Vitrixerands
DEAH,Typic Vitrixerands
GA,Cryids
GB,Salids
GC,Durids
GD,Gypsids
GE,Argids
GF,Calcids
GG,Cambids
GEA,Petroargids
GEB,Natrargids
GEC,Paleargids
GED,Gypsiargids
GEE,Calciargids
GEF,Haplargids
GEEA,Lithic Calciargids
GEEB,Xerertic Calciargids
GEEC,Ustertic Calciargids
GEED,Vertic Calciargids
GEEE,Aquic Calciargids
GEEF,Arenic Ustic Calciargids
GEEG,Arenic Calciargids
GEEH,Durinodic Xeric Calciargids
GEEI,Durinodic Calciargids
GEEJ,Petronodic Xeric Calciargids
GEEK,Petronodic Ustic Calciargids
GEEL,Petronodic Calciargids
GEEM,Vitrixerandic Calciargids
GEEN,Vitrandic Calciargids
GEEO,Xeric Calciargids
GEEP,Ustic Calciargids
GEEQ,Typic Calciargids
GEDA,Aquic Gypsiargids
GEDB,Durinodic Gypsiargids
GEDC,Vitrixerandic Gypsiargids
GEDD,Vitrandic Gypsiargids
GEDE,Xeric Gypsiargids
GEDF,Ustic Gypsiargids
GEDG,Typic Gypsiargids
GEFA,Lithic Ruptic-Entic Haplargids
GEFB,Lithic Xeric Haplargids
GEFC,Lithic Ustic Haplargids
GEFD,Lithic Haplargids
